"rownames","affairs","gender","age","yearsmarried","children","religiousness","education","occupation","rating","has_affair","has_affair_num","affair_cat","rating_factor","religious_factor","happy_bin"
1236,7,"Nam",42,15,"Có con",3,20,5,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1247,12,"Nam",32,10,"Không có con",2,18,4,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
1259,12,"Nữ",32,15,"Có con",3,9,1,1,"Có",1,"Nhiều (>=7 lần)","1-Rất bất hạnh","3-Trung bình","Bất hạnh"
1294,7,"Nam",57,15,"Có con",5,20,4,5,"Có",1,"Nhiều (>=7 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1353,12,"Nam",47,15,"Có con",4,20,6,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1370,2,"Nữ",42,15,"Có con",2,17,6,3,"Có",1,"Ít (1-3 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
1427,12,"Nam",37,15,"Có con",3,17,6,3,"Có",1,"Nhiều (>=7 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
1445,12,"Nam",37,15,"Có con",5,17,5,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","5-Rất tôn giáo","Bất hạnh"
1460,7,"Nam",27,10,"Có con",2,20,6,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1480,2,"Nam",37,15,"Có con",2,16,5,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1505,12,"Nữ",32,15,"Có con",1,14,5,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","1-Không","Bất hạnh"
1543,7,"Nam",32,10,"Có con",3,17,6,3,"Có",1,"Nhiều (>=7 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
1548,2,"Nam",37,15,"Có con",4,18,5,1,"Có",1,"Ít (1-3 lần)","1-Rất bất hạnh","4-Tôn giáo","Bất hạnh"
1550,7,"Nữ",27,1.5,"Không có con",2,17,5,5,"Có",1,"Nhiều (>=7 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1561,3,"Nữ",47,15,"Có con",2,17,5,2,"Có",1,"Ít (1-3 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
1564,12,"Nam",37,15,"Có con",2,17,5,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1573,12,"Nữ",27,4,"Không có con",2,14,5,5,"Có",1,"Nhiều (>=7 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1575,2,"Nữ",27,10,"Có con",4,14,1,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1599,1,"Nữ",22,4,"Có con",3,16,1,3,"Có",1,"Ít (1-3 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
1622,12,"Nam",52,7,"Không có con",4,16,5,5,"Có",1,"Nhiều (>=7 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
1629,2,"Nữ",27,4,"Có con",1,16,3,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
1664,7,"Nữ",37,15,"Có con",2,17,6,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1669,2,"Nữ",27,4,"Không có con",1,17,3,1,"Có",1,"Ít (1-3 lần)","1-Rất bất hạnh","1-Không","Bất hạnh"
1674,12,"Nữ",17.5,0.75,"Có con",2,12,3,5,"Có",1,"Nhiều (>=7 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1682,7,"Nữ",32,15,"Có con",5,18,5,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1685,7,"Nữ",22,4,"Không có con",1,16,3,5,"Có",1,"Nhiều (>=7 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
1697,2,"Nam",32,4,"Có con",4,18,6,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1716,1,"Nữ",22,1.5,"Có con",3,18,5,2,"Có",1,"Ít (1-3 lần)","2-Bất hạnh","3-Trung bình","Bất hạnh"
1730,3,"Nữ",42,15,"Có con",2,17,5,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1731,1,"Nam",32,7,"Có con",4,16,4,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1732,12,"Nam",37,15,"Không có con",3,14,6,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","3-Trung bình","Bất hạnh"
1743,1,"Nam",42,15,"Có con",3,16,6,3,"Có",1,"Ít (1-3 lần)","3-Trung bình","3-Trung bình","Bất hạnh"
1751,1,"Nam",27,4,"Có con",1,18,5,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
1757,2,"Nam",37,15,"Có con",4,20,7,3,"Có",1,"Ít (1-3 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
1763,7,"Nam",37,15,"Có con",3,20,6,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
1766,3,"Nam",22,1.5,"Không có con",2,12,3,3,"Có",1,"Ít (1-3 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
1772,3,"Nam",32,4,"Có con",3,20,6,2,"Có",1,"Ít (1-3 lần)","2-Bất hạnh","3-Trung bình","Bất hạnh"
1776,2,"Nam",32,15,"Có con",5,20,6,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
1782,12,"Nữ",52,15,"Có con",1,18,5,5,"Có",1,"Nhiều (>=7 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
1784,12,"Nam",47,15,"Không có con",1,18,6,5,"Có",1,"Nhiều (>=7 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
1791,3,"Nữ",32,15,"Có con",4,16,4,4,"Có",1,"Ít (1-3 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
1831,7,"Nữ",32,15,"Có con",3,14,3,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","3-Trung bình","Bất hạnh"
1840,7,"Nữ",27,7,"Có con",4,16,1,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
1844,12,"Nam",42,15,"Có con",3,18,6,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","3-Trung bình","Bất hạnh"
1856,7,"Nữ",42,15,"Có con",2,14,3,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
1876,12,"Nam",27,7,"Có con",2,17,5,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1929,3,"Nam",32,10,"Có con",4,14,4,3,"Có",1,"Ít (1-3 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
1935,7,"Nam",47,15,"Có con",3,16,4,2,"Có",1,"Nhiều (>=7 lần)","2-Bất hạnh","3-Trung bình","Bất hạnh"
1938,1,"Nam",22,1.5,"Có con",1,12,2,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
1941,7,"Nữ",32,10,"Có con",2,18,5,4,"Có",1,"Nhiều (>=7 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1954,2,"Nam",32,10,"Có con",2,17,6,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
1959,2,"Nam",22,7,"Có con",3,18,6,2,"Có",1,"Ít (1-3 lần)","2-Bất hạnh","3-Trung bình","Bất hạnh"
9010,1,"Nữ",32,15,"Có con",3,14,1,5,"Có",1,"Ít (1-3 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
